District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Waterloo Local,10336352.18,Portage,95.4,52613.0,13.0,0.0,87.0,86.0,98.9,48.0,54.8,312.0,312.0,100.0,311.0,99.7,0.0,0.0,1.0,1.0,2.0,1.85179964,1.0,0.92589982,0.0,0.0,0.0,0.0,0.69,0.63887087,0.0,0.0,0.0,0.0,0.0,0.0,53.92,49.9245183,0.0,0.0,27.38,25.351137,0.0,0.0,0.0,0.0,3.7,3.42582933,3.0,2.77769946,5.0,4.6294991,0.0,0.0,0.0,0.0,1.0,0.92589982,0.0,0.0,0.28378378,0.67567567,0.04054054,0.0,0.0,0.0,1.0,0.0
National Trail Local,11256783.51,Preble,95.3,46893.0,12.0,0.0,74.0,74.0,100.0,44.0,59.9,301.0,296.0,98.3,296.0,98.3,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.33,57.33,2.0,2.0,11.4,11.4,6.0,6.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36619718,0.6056338,0.02816901,0.0,0.0,0.33333333,0.33333333,0.33333333
Preble Shawnee Local,14558173.469999999,Preble,93.5,49518.0,11.0,0.0,85.0,85.0,100.0,40.0,46.9,537.0,527.0,98.1,527.0,98.1,0.0,0.0,1.0,1.0,4.0,3.02997381,1.68,1.272589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15149869,58.71,44.4724407,2.0,1.5149869,19.0,14.3923756,11.94,9.04447184,0.0,0.0,3.0,2.27248036,3.0,2.27248036,5.71,4.32528762,0.0,0.0,0.0,0.0,2.0,1.5149869,0.0,0.01111111,0.38888888,0.6,0.0,0.0,0.0,1.0,0.0,0.0
Twin Valley Community Local,8637349.35,Preble,94.8,48059.0,16.0,0.0,61.0,61.0,100.0,39.0,63.9,258.0,256.0,99.2,256.0,99.2,0.0,0.0,1.0,1.0,2.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,43.75,43.75,2.06,2.06,9.98,9.98,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.28333333,0.7,0.01666666,0.0,0.0,1.0,0.0,0.0
Columbus Grove Local,8464713.46,Putnam,96.7,57055.0,12.0,0.0,56.0,56.0,100.0,42.0,74.8,326.0,324.0,99.4,324.0,99.4,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,41.85,41.85,3.0,3.0,7.62,7.62,2.0,2.0,1.0,1.0,2.13,2.13,4.27,4.27,6.15,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12068965,0.8275862,0.05172413,0.0,0.0,0.5,0.5,0.0
Continental Local,5665191.43,Putnam,96.4,46821.0,17.0,0.0,38.0,38.0,100.0,22.0,57.1,286.0,284.0,99.3,280.0,97.9,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.77,0.0,0.0,0.0,0.0,0.0,0.0,26.14,26.14,1.01,1.01,7.54,7.54,1.89,1.89,0.0,0.0,1.01,1.01,2.02,2.02,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69444444,0.30555555,0.0,0.0,0.0,1.0,0.0,0.0
Jennings Local,3754834.3000000003,Putnam,95.7,47938.0,27.0,0.0,28.0,28.0,100.0,19.0,68.2,152.0,151.0,99.3,149.0,99.8,0.0,0.0,1.0,1.0,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,22.81,22.81,0.01,0.01,2.81,2.81,0.0,0.0,0.3,0.3,1.12,1.12,1.56,1.56,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kalida Local,5949715.84,Putnam,96.1,53086.0,24.0,0.0,42.0,42.0,100.0,26.0,60.4,203.0,203.0,100.0,203.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.88,0.0,0.0,0.0,0.0,0.0,0.0,34.15,34.15,1.12,1.12,4.45,4.45,0.63,0.63,0.0,0.0,14.13,14.13,2.27,2.27,1.14,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13888888,0.86111111,0.0,0.0,0.0,0.0,1.0,0.0
Leipsic Local,6277615.3100000005,Putnam,96.6,52361.0,22.0,0.0,50.0,50.0,100.0,34.0,68.1,233.0,233.0,100.0,233.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.34,35.34,2.12,2.12,8.1,8.1,0.0,0.0,0.25,0.25,2.65,2.65,3.27,3.27,3.15,3.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565,0.84782608,0.04347826,0.0,0.0,0.0,1.0,0.0
Miller City-New Cleveland Local,4684804.19,Putnam,92.5,50608.0,11.0,0.0,34.0,34.0,100.0,17.0,48.6,209.0,202.0,96.7,191.0,91.4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0,0.0,27.39,27.39,1.16,1.16,3.54,3.54,1.0,1.0,0.0,0.0,13.13,13.13,2.1,2.1,1.42,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61290322,0.38709677,0.0,0.0,0.0,1.0,0.0,0.0
Ottawa-Glandorf Local,14524137.46,Putnam,95.4,55030.0,16.0,0.0,92.0,92.0,100.0,70.0,76.3,446.0,436.0,97.8,436.0,97.8,0.0,0.0,1.0,1.0,4.0,2.6511024,0.88,0.58324252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.42,50.6493113,1.0,0.6627756,8.04,5.32871582,17.48,11.5853174,0.0,0.0,1.13,0.74893642,4.13,2.73726322,4.69,3.10841756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59550561,0.33707865,0.06741573,0.0,0.0,0.75,0.0,0.25
Ottoville Local,4992721.4399999995,Putnam,97.1,54889.0,22.0,0.0,35.0,35.0,100.0,30.0,87.4,197.0,197.0,100.0,197.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.19,29.19,0.72,0.72,3.29,3.29,3.0,3.0,0.0,0.0,10.54,10.54,2.1,2.1,1.12,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31428571,0.65714285,0.02857142,0.0,0.0,0.0,1.0,0.0
Pandora-Gilboa Local,6319051.1,Putnam,95.4,48263.0,21.0,0.0,40.0,39.0,97.5,14.0,35.1,234.0,229.0,97.9,229.0,97.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.41,33.41,1.0,1.0,4.26,4.26,0.0,0.0,0.0,0.0,1.13,1.13,3.14,3.14,5.14,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92682926,0.07317073,0.0,0.0,0.0,1.0,0.0,0.0
Clear Fork Valley Local,16341586.399999999,Richland,96.0,48437.0,16.0,1.0,111.0,111.0,100.0,64.0,57.4,557.0,550.0,98.7,550.0,98.7,0.0,0.0,1.0,1.0,1.6,0.96874946,0.0,0.0,1.0,0.60546841,0.0,0.0,4.0,2.42187366,0.0,0.0,0.0,0.0,0.0,0.0,82.2,49.7695038,4.0,2.42187366,17.46,10.5714785,10.0,6.05468416,0.0,0.0,3.07,1.85878804,4.0,2.42187366,6.02,3.64491986,0.0,0.0,0.0,0.0,0.5,0.3027342,0.0,0.02542372,0.82203389,0.15254237,0.0,0.0,0.0,0.0,1.0,0.0
Crestview Local,11166043.73,Columbiana,94.5,50209.0,14.0,0.0,78.0,78.0,100.0,52.0,66.6,372.0,372.0,100.0,372.0,100.0,0.0,0.0,1.0,1.0,2.0,1.57693146,3.0,2.3653972,0.0,0.0,0.0,0.0,5.0,3.94232867,0.0,0.0,0.0,0.0,0.0,0.0,57.0,44.9425468,1.0,0.78846573,7.43,5.8583004,0.0,0.0,0.4,0.31538629,3.0,2.3653972,3.0,2.3653972,4.0,3.15386293,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051,0.02564102,0.62820512,0.32051282,0.01282051,0.0,0.0,0.66666666,0.33333333,0.0
Crestview Local,11166043.73,Richland,95.5,47783.0,14.0,3.0,81.0,81.0,100.0,47.0,57.7,361.0,356.0,98.6,351.0,97.2,0.0,0.0,1.0,1.0,2.0,1.88721069,0.0,0.0,1.0,0.94360534,0.0,0.0,3.0,2.83081603,0.0,0.0,0.0,0.0,0.0,0.0,54.45,51.3793111,2.0,1.88721069,12.07,11.3893165,0.0,0.0,1.0,0.94360534,5.0,4.71802673,3.2,3.0195371,4.0,3.77442138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051,0.44871794,0.53846153,0.0,0.0,0.0,0.2,0.8,0.0
Crestview Local,11166043.73,Van Wert,96.0,50800.0,11.0,0.0,71.0,71.0,100.0,48.0,68.0,304.0,304.0,100.0,297.0,97.7,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0,0.0,43.51,43.51,3.0,3.0,16.05,16.05,20.71,20.71,0.0,0.0,3.0,3.0,2.51,2.51,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333,0.43055555,0.48611111,0.0,0.0,0.0,0.0,1.0,0.0
Lexington Local,22118581.52,Richland,94.7,53339.0,16.0,2.0,133.0,133.0,100.0,93.0,70.0,807.0,807.0,100.0,807.0,100.0,0.0,0.0,1.0,1.0,3.0,1.28936639,4.0,1.71915518,1.0,0.42978879,0.0,0.0,4.0,1.71915518,0.0,0.0,0.0,0.0,1.98,0.85098181,99.07,42.579176,0.0,0.0,22.0,9.45535352,27.0,11.6042975,0.0,0.0,7.43,3.19333075,7.0,3.00852157,6.0,2.57873278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01351351,0.47297297,0.46621621,0.04729729,0.0,0.0,0.75,0.25,0.0
Lucas Local,5444186.63,Richland,95.2,47929.0,14.0,0.0,39.0,39.0,100.0,27.0,69.9,186.0,183.0,98.4,183.0,98.4,0.0,0.0,1.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,30.4,30.4,0.0,0.0,5.63,5.63,13.15,13.15,0.0,0.0,2.0,2.0,1.85,1.85,2.15,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.625,0.325,0.0,0.0,0.0,1.0,0.0,0.0
Madison Local,32372247.18,Butler,96.1,48899.0,11.0,2.0,100.0,100.0,100.0,46.0,45.8,571.0,562.0,98.4,562.0,98.4,0.0,0.0,1.0,1.0,6.0,4.00611682,3.0,2.00305841,0.0,0.0,0.0,0.0,3.93,2.62400651,0.0,0.0,0.0,0.0,0.0,0.0,68.76,45.9100987,1.0,0.66768613,23.13,15.4435803,32.89,21.960197,0.0,0.0,7.0,4.67380295,3.0,2.00305841,8.0,5.34148909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01086956,0.32608695,0.59782608,0.06521739,0.0,0.0,0.0,1.0,0.0
Madison Local,32372247.18,Lake,94.4,66173.0,15.0,0.0,148.0,148.0,100.0,118.0,80.1,811.0,807.0,99.5,807.0,99.5,0.0,0.0,1.0,1.0,3.0,0.98765409,0.0,0.0,2.5,0.82304508,0.0,0.0,3.48,1.14567875,0.0,0.0,0.0,0.0,0.0,0.0,114.75,37.7777693,0.0,0.0,22.25,7.32510123,25.68,8.45431908,1.0,0.32921803,7.0,2.30452623,4.5,1.48148114,6.0,1.97530819,0.75,0.24691352,0.0,0.0,4.0,1.31687213,0.0,0.0,0.10828025,0.88535031,0.00636942,0.0,0.0,0.0,1.0,0.0
Madison Local,32372247.18,Richland,94.7,50490.0,13.0,1.0,222.0,217.0,97.7,138.0,62.3,878.0,876.0,99.8,876.0,99.8,0.0,0.0,1.0,1.0,6.0,1.96530262,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.63775219,0.0,0.0,0.0,0.0,0.0,0.0,146.4,47.9533841,19.0,6.22345832,35.0,11.4642653,26.61,8.71611716,0.0,0.0,4.0,1.31020175,9.0,2.94795394,10.36,3.39342254,0.0,0.0,0.0,0.0,1.0,0.32755043,0.0,0.009009,0.39639639,0.59459459,0.0,0.0,0.0,0.3,0.7,0.0
Plymouth-Shiloh Local,8710224.27,Richland,95.6,50612.0,13.0,0.0,56.0,56.0,100.0,35.0,62.2,234.0,233.0,99.6,212.0,90.6,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.29,2.29,0.0,0.0,41.5,41.5,1.0,1.0,7.0,7.0,4.0,4.0,0.0,0.0,5.0,5.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67857142,0.32142857,0.0,0.0,0.0,1.0,0.0,0.0
Ontario Local,16120957.8,Richland,95.7,57675.0,17.0,4.0,100.0,100.0,100.0,51.0,51.2,517.0,517.0,100.0,517.0,100.0,0.0,0.0,1.0,1.0,4.0,2.09135688,1.0,0.52283922,1.0,0.52283922,0.0,0.0,2.0,1.04567844,0.0,0.0,3.0,1.56851766,0.0,0.0,78.33,40.9539962,3.0,1.56851766,11.37,5.94468195,1.0,0.52283922,0.0,0.0,5.98,3.12657855,3.0,1.56851766,5.99,3.13180694,0.0,0.0,0.0,0.0,1.0,0.52283922,0.0,0.0,0.15151515,0.83838383,0.01010101,0.0,0.0,0.0,1.0,0.0
Adena Local,10953341.77,Ross,94.2,50920.0,19.0,0.0,67.0,67.0,100.0,45.0,66.0,374.0,374.0,100.0,373.0,99.7,0.0,0.0,1.0,1.0,2.0,1.65042585,1.0,0.82521292,0.0,0.0,0.0,0.0,2.0,1.65042585,0.0,0.0,0.0,0.0,0.0,0.0,52.88,43.6372596,1.0,0.82521292,10.5,8.66473573,9.0,7.42691634,0.0,0.0,2.0,1.65042585,3.0,2.47563878,2.0,1.65042585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28767123,0.64383561,0.06849315,0.0,0.0,1.0,0.0,0.0
Huntington Local,13590918.379999999,Ross,93.8,60946.0,17.0,0.0,80.0,80.0,100.0,56.0,69.8,401.0,401.0,100.0,371.0,92.5,0.0,0.0,1.0,1.0,2.0,1.78562487,1.0,0.89281243,0.0,0.0,0.0,0.0,1.0,0.89281243,0.0,0.0,0.0,0.0,0.0,0.0,67.5,60.2648396,0.0,0.0,11.85,10.5798274,0.0,0.0,0.0,0.0,2.0,1.78562487,2.0,1.78562487,3.0,2.67843731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44871794,0.52564102,0.02564102,0.0,0.0,0.0,1.0,0.0
Paint Valley Local,8838221.1,Ross,94.1,50578.0,16.0,0.0,56.0,56.0,100.0,33.0,59.4,408.0,402.0,98.5,398.0,97.5,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.81,45.81,0.0,0.0,7.7,7.7,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30357142,0.69642857,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Southeastern Local,11010191.11,Clark,97.0,123308.0,31.0,0.0,29.0,29.0,100.0,19.0,67.3,306.0,306.0,100.0,306.0,100.0,0.0,0.0,1.0,1.0,1.33,1.33,0.8,0.8,0.25,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.89,17.89,1.37,1.37,4.38,4.38,3.73,3.73,0.0,0.0,1.56,1.56,1.59,1.59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363,0.16363636,0.8,0.0,0.0,0.0,0.0,1.0,0.0
Southeastern Local,11010191.11,Ross,94.3,51857.0,15.0,0.0,68.0,68.0,99.3,22.0,32.4,394.0,390.0,99.0,386.0,99.8,0.0,0.0,1.0,0.33,2.0,1.84360178,1.0,0.92180089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.03,47.0394996,0.0,0.0,11.4,10.5085301,13.0,11.9834116,1.0,0.92180089,2.0,1.84360178,3.0,2.76540268,2.0,1.84360178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2063492,0.77777777,0.01587301,0.0,0.0,0.0,1.0,0.0
Union-Scioto Local,19617895.98,Ross,95.7,54669.0,14.0,1.0,119.0,119.0,100.0,80.0,67.3,658.0,654.0,99.4,652.0,99.1,0.0,0.0,1.0,0.8,10.0,4.81330699,1.0,0.48133069,2.0,0.96266139,0.0,0.0,4.0,1.92532279,0.0,0.0,0.0,0.0,0.0,0.0,100.29,48.2726558,0.0,0.0,6.05,2.91205073,9.0,4.33197629,1.0,0.48133069,12.0,5.77596839,4.0,1.92532279,5.0,2.40665349,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.01709401,0.44444444,0.5042735,0.02564102,0.0,0.0,1.0,0.0,0.0
Zane Trace Local,13040091.100000001,Ross,95.0,58323.0,17.0,2.0,82.0,81.0,98.8,57.0,70.3,482.0,479.0,99.4,479.0,99.4,0.0,0.0,1.0,1.0,3.0,2.32270732,0.0,0.0,1.0,0.77423577,0.0,0.0,2.0,1.54847155,0.0,0.0,0.0,0.0,0.0,0.0,65.97,51.0763341,0.0,0.0,11.75,9.09727036,0.0,0.0,0.0,0.0,3.0,2.32270732,2.0,1.54847155,3.0,2.32270732,0.0,0.0,0.0,0.0,1.0,0.77423577,0.0,0.06666666,0.78666666,0.14666666,0.0,0.0,0.0,1.0,0.0,0.0
Lakota Local,11179520.65,Butler,95.4,68545.0,16.0,7.0,761.0,761.0,100.0,564.0,74.1,4494.0,4482.0,99.7,4482.0,99.7,0.0,0.0,1.0,1.0,32.5,2.15838283,21.39,1.42054796,11.8,0.783659,5.22,0.34666949,1.0,0.06641178,0.0,0.0,10.48,0.69599545,0.0,0.0,606.05,40.248859,0.0,0.0,126.55,8.40441071,0.0,0.0,10.0,0.66411779,18.0,1.19541203,17.5,1.16220614,10.22,0.67872838,0.0,0.0,0.5,0.03320589,21.63,1.43648679,0.0,0.00185873,0.21747211,0.76951672,0.01115241,0.0,0.06122449,0.06122449,0.83673469,0.04081632
Lakota Local,11179520.65,Sandusky,95.7,49880.0,13.0,0.0,53.0,53.0,100.0,26.0,49.4,311.0,311.0,100.0,311.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,19.0,19.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02941176,0.47058823,0.5,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Woodmore Local,10607454.84,Sandusky,95.0,56788.0,8.0,0.0,60.0,59.0,98.3,14.0,23.5,345.0,313.0,90.7,313.0,90.7,0.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.88,1.88,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,6.0,6.0,10.25,10.25,1.0,1.0,2.0,2.0,3.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42857142,0.57142857,0.0,0.0,0.0,0.0,0.0,1.0
Bloom-Vernon Local,8981682.21,Scioto,96.2,50926.0,13.0,1.0,66.0,65.0,98.7,33.0,50.3,365.0,365.0,100.0,365.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,3.83,3.83,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35483871,0.64516129,0.0,0.0,0.0,0.0,1.0,0.0
Clay Local,5903921.88,Scioto,94.1,47226.0,11.0,0.0,42.0,42.0,100.0,22.0,52.1,202.0,199.0,98.5,199.0,98.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,32.1,0.0,0.0,8.48,8.48,4.0,4.0,0.0,0.0,1.5,1.5,2.5,2.5,2.0,2.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.31707317,0.68292682,0.0,0.0,0.0,0.0,1.0,0.0
Green Local,6375339.8,Scioto,94.3,41173.0,8.0,0.0,45.0,45.0,100.0,20.0,43.9,252.0,228.0,90.5,228.0,90.5,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,5.85,5.85,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190476,0.73809523,0.0,0.0,0.0,0.66666666,0.33333333,0.0
Green Local,6375339.8,Summit,94.3,62375.0,9.0,0.0,218.0,218.0,100.0,149.0,68.1,944.0,944.0,100.0,940.0,99.6,0.0,0.0,1.0,0.6,10.5,2.64592799,0.0,0.0,4.3,1.08357051,0.0,0.0,3.5,0.88197599,0.0,0.0,0.0,0.0,0.0,0.0,167.3,42.1584526,0.0,0.0,39.0,9.82773253,52.0,13.1036433,4.0,1.00797256,7.25,1.82695028,9.33,2.35109601,7.5,1.88994856,0.0,0.0,0.0,0.0,4.5,1.13396913,0.0,0.00429184,0.25321888,0.73390557,0.00858369,0.0,0.1,0.4,0.5,0.0
Green Local,6375339.8,Wayne,96.5,53720.0,5.0,0.0,78.0,77.0,98.1,49.0,62.8,325.0,325.0,100.0,325.0,100.0,0.0,0.0,1.0,1.0,3.3,3.16495279,0.0,0.0,2.0,1.9181532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.38,55.9908921,2.0,1.9181532,12.5,11.9884575,1.68,1.61124869,0.8,0.76726128,3.0,2.87722981,4.4,4.21993705,2.67,2.56073453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01388888,0.48611111,0.5,0.0,0.0,0.0,0.0,0.0,1.0
Minford Local,13105329.610000001,Scioto,93.1,56188.0,18.0,0.0,93.0,93.0,99.9,66.0,70.4,314.0,314.0,100.0,314.0,100.0,0.0,0.0,1.0,1.0,4.0,2.93179623,1.0,0.73294905,2.0,1.46589811,0.0,0.0,3.0,2.19884717,0.0,0.0,0.0,0.0,0.0,0.0,69.0,50.573485,1.11,0.81357345,11.28,8.26766537,2.0,1.46589811,0.0,0.0,2.0,1.46589811,3.0,2.19884717,4.0,2.93179623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02272727,0.14772727,0.82954545,0.0,0.0,0.0,0.2,0.8,0.0
Northwest Local,17040976.9,Hamilton,94.6,56083.0,14.0,1.0,493.0,493.0,100.0,327.0,66.4,2218.0,2212.0,99.7,2212.0,99.7,0.0,0.0,1.0,1.0,16.0,1.97039906,16.18,1.99256605,1.0,0.12314994,0.0,0.0,12.97,1.59725474,0.0,0.0,0.0,0.0,3.0,0.36944982,361.95,44.5741214,0.0,0.0,87.88,10.8224168,22.76,2.80289267,8.4,1.03445951,14.0,1.72409918,19.6,2.41373886,19.02,2.34231189,0.0,0.0,0.0,0.0,0.0,0.0,0.00572519,0.16603053,0.54961832,0.27862595,0.0,0.0,0.09677419,0.74193548,0.03225806,0.12903225
Northwest Local,17040976.9,Scioto,94.8,58130.0,15.0,1.0,103.0,103.0,100.0,69.0,66.8,360.0,360.0,100.0,360.0,100.0,0.0,0.0,1.0,1.0,4.0,2.94134281,3.0,2.20600711,0.0,0.0,0.0,0.0,1.0,0.7353357,0.0,0.0,0.0,0.0,0.0,0.0,79.0,58.0915205,1.0,0.7353357,16.88,12.4124666,8.0,5.88268562,1.0,0.7353357,3.0,2.20600711,4.0,2.94134281,3.0,2.20600711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47474747,0.51515151,0.01010101,0.0,0.0,1.0,0.0,0.0
